evaluation,source_language,language,pass@1,pass@1_se,pass@5,pass@5_se
qwen3.5_grpo_reward80b,java,cpp,0.760976,0.013689,0.841463,0.000000
qwen3.5_grpo_reward80b,java,go,0.598780,0.011949,0.658537,0.000000
qwen3.5_grpo_reward80b,java,js,0.853659,0.008623,0.878049,0.000000
qwen3.5_grpo_reward80b,java,python,0.864634,0.008623,0.896341,0.000000
qwen3.5_grpo_reward80b,java,rust,0.387805,0.024693,0.609756,0.000000
qwen3.5_grpo_reward80b,js,cpp,0.740244,0.015329,0.829268,0.000000
qwen3.5_grpo_reward80b,js,go,0.619512,0.011949,0.682927,0.000000
qwen3.5_grpo_reward80b,js,java,0.837805,0.011569,0.890244,0.000000
qwen3.5_grpo_reward80b,js,python,0.873171,0.008089,0.890244,0.000000
qwen3.5_grpo_reward80b,js,rust,0.396341,0.020696,0.560976,0.000000
qwen3.5_grpo_reward80b,python,cpp,0.664634,0.012437,0.737805,0.000000
qwen3.5_grpo_reward80b,python,go,0.512195,0.012790,0.585366,0.000000
qwen3.5_grpo_reward80b,python,java,0.731707,0.011043,0.774390,0.000000
qwen3.5_grpo_reward80b,python,js,0.773171,0.009602,0.810976,0.000000
qwen3.5_grpo_reward80b,python,rust,0.362195,0.023203,0.548780,0.000000
qwen3.5_grpo_reward80b,rust,cpp,0.782927,0.011309,0.841463,0.000000
qwen3.5_grpo_reward80b,rust,go,0.546341,0.012195,0.609756,0.000000
qwen3.5_grpo_reward80b,rust,java,0.810976,0.012195,0.865854,0.000000
qwen3.5_grpo_reward80b,rust,js,0.702439,0.012437,0.768293,0.000000
qwen3.5_grpo_reward80b,rust,python,0.787805,0.011440,0.835366,0.000000
qwen3.5_grpo_reward80b,ALL,total,0.685894,0.002578,0.762195,0.000000
qwen3.5_grpo_reward80b_v2_100,cpp,go,0.593902,0.017073,0.713415,0.000000
qwen3.5_grpo_reward80b_v2_100,cpp,java,0.829268,0.010770,0.878049,0.000000
qwen3.5_grpo_reward80b_v2_100,cpp,js,0.802439,0.012073,0.865854,0.000000
qwen3.5_grpo_reward80b_v2_100,cpp,python,0.763415,0.009602,0.810976,0.000000
qwen3.5_grpo_reward80b_v2_100,cpp,rust,0.435366,0.026099,0.689024,0.000000
qwen3.5_grpo_reward80b_v2_100,go,cpp,0.710976,0.015994,0.823171,0.000000
qwen3.5_grpo_reward80b_v2_100,go,java,0.817073,0.009756,0.853659,0.000000
qwen3.5_grpo_reward80b_v2_100,go,js,0.858537,0.010770,0.896341,0.000000
qwen3.5_grpo_reward80b_v2_100,go,python,0.887805,0.009907,0.926829,0.000000
qwen3.5_grpo_reward80b_v2_100,go,rust,0.421951,0.027050,0.689024,0.000000
qwen3.5_grpo_reward80b_v2_100,java,cpp,0.756098,0.014326,0.841463,0.000000
